"CodeNum","ProcCode","Descript","AbbrDesc","ProcTime","ProcCat","TreatArea","NoBillIns","IsProsth","DefaultNote","IsHygiene","GTypeNum","AlternateCode1","MedicalCode","IsTaxed","PaintType","GraphicColor","LaymanTerm","IsCanadianLab","PreExisting","BaseUnits","SubstitutionCode","SubstOnlyIf","DateTStamp","IsMultiVisit","DrugNDC","RevenueCodeDefault","ProvNumDefault","CanadaTimeUnits","IsRadiology","DefaultClaimNote","DefaultTPNote","BypassGlobalLock","TaxCode"
1,"tmp1","Periodic Exam DESCRIPTION NOT INCLUDED IN TEST CONVERSION","exam","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
2,"tmp2","Limited oral evaluat DESCRIPTION NOT INCLUDED IN TEST CONVERSION","Limited","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
3,"tmp3","Comprehensive oral e DESCRIPTION NOT INCLUDED IN TEST CONVERSION","NP EXAM","/XX/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
4,"tmp4","Detail/extensive ora DESCRIPTION NOT INCLUDED IN TEST CONVERSION","ExtEval","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
5,"tmp5","Limited re-evaluatio DESCRIPTION NOT INCLUDED IN TEST CONVERSION","ReEval","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
6,"tmp6","Comprehensive perio  DESCRIPTION NOT INCLUDED IN TEST CONVERSION","CmpPerEvl","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,0,"","",0,""
7,"tmp7","Intraoral Full Mouth DESCRIPTION NOT INCLUDED IN TEST CONVERSION","FMX","/X/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
8,"tmp8","Intraoral Periapical DESCRIPTION NOT INCLUDED IN TEST CONVERSION","PA1st","/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
9,"tmp9","Intraoral-periapical DESCRIPTION NOT INCLUDED IN TEST CONVERSION","PA","/",73,3,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
10,"tmp10","Intraoral Occlusal I DESCRIPTION NOT INCLUDED IN TEST CONVERSION","OccImg","/",73,6,0,0,"",0,0,"","",0,0,0,"",0,1,0,"",0,"2020-12-22 11:22:41",0,"","",0,1.0,1,"","",0,""
